step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
47,15.11944530055547,14.9347840730967,1.319743577110149,0.5092923143647122,5.018328577239188,0.0,0.0,0.0,0.8014235018832608,10.1,1.0,2.0269917366996317
48,15.112205077725637,14.929359140381273,1.327801045313456,0.5045293457538285,5.022400862135261,0.0,0.0,0.0,0.8516350760047438,10.4,1.0,2.2042312175233554
49,15.10486799373821,14.92385143303228,1.3357935868137196,0.4998569994455976,5.02629258243384,0.0,0.0,0.0,0.8310922029895969,10.4,1.0,2.2042312175233554
50,15.097435768560382,14.918261927338408,1.3437304078920937,0.49527481693534614,5.030001019464477,0.0,0.0,0.0,0.8108402250567368,10.4,1.0,2.2042312175233554
51,15.089910095243962,14.912591587749182,1.3516165350639437,0.49078224895073624,5.033523667985194,0.0,0.0,0.0,0.7908803096910748,10.4,1.0,2.2042312175233554
52,15.082292644251364,14.906841367023748,1.3594522172599832,0.4863786677810114,5.036858223993683,0.0,0.0,0.0,0.7946883944539783,10.5,1.0,2.257221959155995
53,15.074585067583437,14.901012206377773,1.3672332300271737,0.48206338037570096,5.04000257476658,0.0,0.0,0.0,0.7748372844001661,10.5,1.0,2.257221959155995
54,15.066788999657707,14.895105035628461,1.3749539192074107,0.47783564121088723,5.04295479090297,0.0,0.0,0.0,0.7552842254706023,10.5,1.0,2.257221959155995
55,15.058906058926752,14.88912077333782,1.3826067620721312,0.47369466476742905,5.0457131200784735,0.0,0.0,0.0,0.7360293417484371,10.5,1.0,2.257221959155995
56,15.050937851942209,14.883060326954096,1.3901803614464252,0.4696396372880401,5.048275982263903,0.0,0.0,0.0,0.7170726550997618,10.5,1.0,2.257221959155995
57,15.042885977177141,14.87692459295154,1.397659718927713,0.4656697274711265,5.05064196629319,0.0,0.0,0.0,0.6984141662754323,10.5,1.0,2.257221959155995
58,15.034752028610459,14.870714456968486,1.4050264723958308,0.46178409600241943,5.052809827522559,0.0,0.0,0.0,0.7035401243681528,10.6,1.0,2.288814527567078
59,15.026560499821695,14.864449185192674,1.4096051941902537,0.4579819038809396,5.054778486339577,0.0,0.0,0.0,0.7083930967432469,10.7,1.0,2.400127437870609
60,15.018313725848099,14.858130282710308,1.4139506337205283,0.4542625179267414,5.056547026776009,0.0,0.0,0.0,0.6897993763745818,10.7,1.0,2.400127437870609
61,15.010014003226605,14.851759217305716,1.4180476664075374,0.45062546021077843,5.058114694849948,0.0,0.0,0.0,0.7407576649794256,11.0,1.0,2.6569145847024025
62,15.001663593218074,14.845337421648525,1.4218787667439814,0.4470703693129591,5.0594809023639264,0.0,0.0,0.0,0.7214871242881318,11.0,1.0,2.6569145847024025
63,14.99326471034862,14.838866292240471,1.4254306509049477,0.4435967148290184,5.0606452299510005,0.0,0.0,0.0,0.7248659511363397,11.1,1.0,2.7577775711134214
64,14.984819520107584,14.832347188619046,1.4286913414489455,0.44020372251961026,5.061607426735775,0.0,0.0,0.0,0.7277024275408089,11.2,1.0,2.8282369697339402
65,14.976330135301904,14.825781432772771,1.4316535776109043,0.4368904221921327,5.062367410590307,0.0,0.0,0.0,0.7084498989808585,11.2,1.0,2.8282369697339402
66,14.967798615569185,14.81917030873059,1.4343107241024997,0.4336556878739508,5.062925271252155,0.0,0.0,0.0,0.6895736088528291,11.2,1.0,2.8282369697339402
67,14.959226970918213,14.812515062239616,1.4366523525443773,0.4304982714232335,5.063281273340382,0.0,0.0,0.0,0.6710745694991829,11.2,1.0,2.8282369697339402
68,14.950617164958638,14.805816900531285,1.4386647089027897,0.42741683784267,5.063435857977096,0.0,0.0,0.0,0.6753802661893347,11.3,1.0,2.91631357026343
69,14.941971116005718,14.799076992169313,1.4403330020381695,0.424409923589514,5.0633896430875645,0.0,0.0,0.0,0.7015821285884609,11.5,1.0,3.04167265139646
70,14.933290694237524,14.792296467000867,1.4416453485389558,0.42147581748787544,5.063143422279869,0.0,0.0,0.0,0.7045400382252457,11.6,1.0,3.139694738766182
71,14.924577714312964,14.785476416236865,1.4425976223195427,0.41861262204098443,5.062698163336792,0.0,0.0,0.0,0.706966575575244,11.7,1.0,3.198479415512241
72,14.91583393190648,14.778617892592367,1.4431904214507378,0.41581835189134336,5.0620551027460206,0.0,0.0,0.0,0.7090864911142689,11.8,1.0,3.2526554319982477
73,14.907061041480144,14.771721910574925,1.4434287534228958,0.4130909850483533,5.061215786749675,0.0,0.0,0.0,0.7315139864282506,12.0,1.0,3.382483017170399
74,14.89826067346858,14.76478944687174,1.4433208807147557,0.41042846971022623,5.060182045585066,0.0,0.0,0.0,0.7113284048631635,12.0,1.0,3.382483017170399
75,14.88943438772743,14.757821440772528,1.4428815620791202,0.4078286346579407,5.05895603014177,0.0,0.0,0.0,0.6915636440037695,12.0,1.0,3.382483017170399
76,14.880583677958578,14.750818794716462,1.4421215338249387,0.40528919200253344,5.057540206890083,0.0,0.0,0.0,0.6931239059317067,12.1,1.0,3.4227049766021667
77,14.871709977903995,14.74378237489656,1.4410458947613694,0.40280778655201305,5.055937323995145,0.0,0.0,0.0,0.6946771565542792,12.2,1.0,3.456313676201385
78,14.862814662413635,14.736713011867405,1.439659118923108,0.4003820373472847,5.054150379103698,0.0,0.0,0.0,0.715645036499947,12.4,1.0,3.639986885154194
79,14.853899045464141,14.729611501145886,1.4379679595557655,0.3980095712608289,5.052182582274087,0.0,0.0,0.0,0.7352694732681242,12.6,1.0,3.756070448410823
80,14.844964372236348,14.72247860383697,1.4359876463483903,0.3956885195446882,5.050037390877267,0.0,0.0,0.0,0.7144886509409252,12.6,1.0,3.756070448410823
81,14.83601181817772,14.715315047392746,1.433737868585431,0.39341826153271026,5.047718784734351,0.0,0.0,0.0,0.713531755693034,12.7,1.0,3.832422229670295
82,14.827042492884726,14.708121526551858,1.4312355061890107,0.3911991651524588,5.045231184702003,0.0,0.0,0.0,0.6931248729921974,12.7,1.0,3.832422229670295
83,14.818057445538551,14.700898704334241,1.4284929333915675,0.38903235416952775,5.042579347552968,0.0,0.0,0.0,0.673185300593766,12.7,1.0,3.832422229670295
84,14.809057674068203,14.69364721304559,1.425514295643281,0.38691951384873874,5.039768283555904,0.0,0.0,0.0,0.673631217565696,12.8,1.0,3.950319423826575
85,14.800044132568544,14.68636765514954,1.4222965369869758,0.3848627267540622,5.036803186983409,0.0,0.0,0.0,0.6738239660006151,12.9,1.0,3.984321507421498
86,14.791017731820219,14.679060604032138,1.4188315135487517,0.3828643324394328,5.033689376674265,0.0,0.0,0.0,0.6929453704358955,13.1,1.0,4.0816762638160435
87,14.781979336213482,14.671726604828686,1.4151156785373185,0.38092689569888616,5.0304322427808374,0.0,0.0,0.0,0.6920211112276545,13.2,1.0,4.6160513776177705
88,14.772929758019492,14.664366175183957,1.4111533607756592,0.3790533119851785,5.02703720065927,0.0,0.0,0.0,0.7092635899921557,13.4,1.0,4.71908169790441
89,14.76386976295654,14.65697980959762,1.406949184851201,0.37724662326340946,5.023509651582474,0.0,0.0,0.0,0.6885942689966855,13.4,1.0,4.71908169790441
90,14.754800072467043,14.649567983461933,1.4025107820901388,0.37550985042153345,5.019854950049664,0.0,0.0,0.0,0.6684301204009431,13.4,1.0,4.71908169790441
91,14.74572137275987,14.642131153339749,1.3978385708448522,0.37384586148074805,5.01607837351022,0.0,0.0,0.0,0.6487680534050979,13.4,1.0,4.71908169790441
92,14.73663432347199,14.634669757131187,1.392925807918964,0.3722572624221775,5.012185092273754,0.0,0.0,0.0,0.6296047995832057,13.4,1.0,4.71908169790441
93,14.727539564906513,14.62718421412461,1.3877595638187308,0.37074630902319156,5.008180146289475,0.0,0.0,0.0,0.6490108256899303,13.6,1.0,4.819531329720549
94,14.718437722438892,14.619674924927967,1.3823234722363846,0.36931479578659093,5.004068424103347,0.0,0.0,0.0,0.6486472262640545,13.7,1.0,4.894165498312926
95,14.709329399874147,14.612142271297602,1.376610133999536,0.3679636587948686,4.999854643451058,0.0,0.0,0.0,0.6835195670705371,14.0,1.0,5.048771733858552
96,14.700215168675077,14.604586616003742,1.3706240451267555,0.3666929742388643,4.99554333172372,0.0,0.0,0.0,0.6807734246254796,14.1,1.0,5.072861136393442
97,14.691095556718086,14.597008302935459,1.3643831362077035,0.36550204212214166,4.991138812527156,0.0,0.0,0.0,0.6603120097946911,14.1,1.0,5.072861136393442
98,14.681971052125302,14.589407657497418,1.357901712681091,0.3643894628006788,4.986645201620972,0.0,0.0,0.0,0.6586337282291049,14.2,1.0,5.119985951129388
99,14.672842112360309,14.581784986774155,1.3511847468483236,0.3633532182570172,4.982066399060822,0.0,0.0,0.0,0.6387160123398201,14.2,1.0,5.119985951129388
100,14.663709166559508,14.574140579458014,1.3442344094571892,0.3623906636695081,4.97740607921238,0.0,0.0,0.0,0.6193485837580404,14.2,1.0,5.119985951129388
101,14.654572619203268,14.56647470573711,1.3370488125876694,0.361498592068658,4.972667682252305,0.0,0.0,0.0,0.6364060696679892,14.4,1.0,5.218381044529952
102,14.645432853329302,14.558787617066438,1.329622345711498,0.3606733772928664,4.964412137637681,0.0,0.0,0.0,0.6524762255591211,14.6,1.0,5.298965666712824
103,14.63629022121555,14.551079545728236,1.3219580578754246,0.35991110501536433,4.956012328048084,0.0,0.0,0.0,0.6324986367907965,14.6,1.0,5.298965666712824
104,14.627145036782045,14.5433507042949,1.314065804448504,0.3592079656527886,4.947597433147934,0.0,0.0,0.0,0.6303185443142036,14.7,1.0,5.339038423383519
105,14.617997574897709,14.535601285183416,1.3059562469567694,0.35856048922586276,4.939170618876289,0.0,0.0,0.0,0.6109678097323409,14.7,1.0,5.339038423383519
106,14.608848075347058,14.527831460103485,1.2976359870435534,0.35796549197753946,4.930734708974462,0.0,0.0,0.0,0.5921893659483507,14.7,1.0,5.339038423383519
107,14.59969674998626,14.520041379270083,1.2891037149046016,0.35742003755939056,4.9222921831152835,0.0,0.0,0.0,0.5915570473221564,14.8,1.0,5.353997933743061
108,14.590543786053066,14.512231170402355,1.2803536218010085,0.35692140920717313,4.913845180616498,0.0,0.0,0.0,0.5909412785831382,14.9,1.0,6.059766941653431
109,14.581389347820885,14.504400941843281,1.2713808579140125,0.3564670900340433,4.905395507251177,0.0,0.0,0.0,0.5730582441906347,14.9,1.0,6.059766941653431
110,14.572233587732558,14.49655078843033,1.262175372895394,0.3560547491320581,4.8969446439461475,0.0,0.0,0.0,0.5734489648167279,15.0,1.0,6.105848575589697
111,14.56307664821038,14.488680789852296,1.2527238191619594,0.3556822086335739,4.888493760085267,0.0,0.0,0.0,0.5906548727242401,15.2,1.0,6.310419345046496
112,14.553918653224448,14.480791008756439,1.243019936540767,0.3553469937982796,4.8800437301152195,0.0,0.0,0.0,0.5898161003627107,15.3,1.0,6.405347922362518
113,14.544759693406714,14.472881489008985,1.2330713596488885,0.35504630071790133,4.871595144127883,0.0,0.0,0.0,0.6057169638948159,15.5,1.0,6.509177378890988
114,14.535599819098987,14.46495225440256,1.222891251995352,0.3547771637439931,4.863148314683232,0.0,0.0,0.0,0.6043022966799969,15.6,1.0,6.548350431680363
115,14.526439033297233,14.457003307565998,1.2124994039187051,0.35453659323357334,4.8547032866816044,0.0,0.0,0.0,0.6026843459645738,15.7,1.0,6.5882584398453234
116,14.517277289882335,14.449034628901728,1.2019170081002684,0.3543217993394845,4.846259915840753,0.0,0.0,0.0,0.5846070190431006,15.7,1.0,6.5882584398453234
117,14.50811449382114,14.441046175522638,1.1911654245222656,0.35413012911733915,4.837818180379732,0.0,0.0,0.0,0.6162018623750682,16.0,1.0,6.677259759269881
118,14.498950503053397,14.433037880278318,1.1802640333164747,0.3539590948532677,4.829378256443341,0.0,0.0,0.0,0.6141527836145633,16.1,1.0,6.700197619140251
