step,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
254,0.05580877564472026,0.17621392208868433,0.21251262238367946,15.0,1.0,15.999999999999975
255,0.05539137704820075,0.17582875813602306,0.21257692343839305,15.0,1.0,15.999999999999975
256,0.05497906532574505,0.17545070416788983,0.2126403640216234,15.0,1.0,15.999999999999975
257,0.054571708125826575,0.17507963053785305,0.2127029661988579,15.0,1.0,15.999999999999975
258,0.05416917848362411,0.17471540996689203,0.21276475144505688,15.0,1.0,15.999999999999975
259,0.053771354516515976,0.1743579174997082,0.2128257406543184,15.0,1.0,15.999999999999975
260,0.05337811912762759,0.17400703046204866,0.21288595415018732,15.0,1.0,15.999999999999975
261,0.05298935981991382,0.17366262841897367,0.21294541169615266,15.0,1.0,15.999999999999975
262,0.05260496851078228,0.17332459313406912,0.21300413250630226,15.0,1.0,15.999999999999975
263,0.05222484134917188,0.1729928085295438,0.2130621352561065,15.0,1.0,15.999999999999975
264,0.05184887858911852,0.17266716064745694,0.21311943809316958,15.0,1.0,15.999999999999975
265,0.05147698452799808,0.17234753761243823,0.21317605864777106,15.0,1.0,15.999999999999975
266,0.051109067116296036,0.1720338295943225,0.21323201404399253,15.0,1.0,15.999999999999975
267,0.05074503779609961,0.17172592877148737,0.21328732091085909,15.0,1.0,15.999999999999975
268,0.050384811360867046,0.17142372929493926,0.21334199539343085,15.0,1.0,15.999999999999975
269,0.05002830582484248,0.17112712725314275,0.21339605316386698,15.0,1.0,15.999999999999975
270,0.049675442318642224,0.17083602063754835,0.21344950943254273,15.0,1.0,15.999999999999975
271,0.04932614489964357,0.1705503093088133,0.21350237895886295,15.0,1.0,15.999999999999975
272,0.04898034042177879,0.17026989496368045,0.21355467606196837,15.0,1.0,15.999999999999975
273,0.04863795841787779,0.16999468110249633,0.21360641463135502,15.0,1.0,15.999999999999975
274,0.0482989309851391,0.16972457299735214,0.21365760813738585,15.0,1.0,15.999999999999975
275,0.047963192674406255,0.16945947766082267,0.21370826964168124,15.0,1.0,15.999999999999975
276,0.047630680383645,0.1691993038152905,0.21375841180737504,15.0,1.0,15.999999999999975
277,0.04730133325582486,0.16894396186283286,0.21380804690922478,15.0,1.0,15.999999999999975
278,0.04697509258127828,0.16869336385565725,0.21385718684356786,15.0,1.0,15.999999999999975
279,0.04665190170452437,0.168447423467073,0.2139058431381152,15.0,1.0,15.999999999999975
280,0.046331705935485364,0.16820605596298097,0.21395402696157556,15.0,1.0,15.999999999999975
281,0.04601445246498709,0.1679691781738676,0.21400174913310674,15.0,1.0,15.999999999999975
282,0.045700090284411764,0.16773670846729535,0.21404902013158755,15.0,1.0,15.999999999999975
283,0.04538857010935833,0.167508566720865,0.21409585010470875,15.0,1.0,15.999999999999975
284,0.045079844307160395,0.1672846742956508,0.21414224887787928,15.0,1.0,15.999999999999975
285,0.04477386682810766,0.16706495401008928,0.21418822596294643,15.0,1.0,15.999999999999975
286,0.04447059314022092,0.16684933011431705,0.21423379056672853,15.0,1.0,15.999999999999975
287,0.04416998016743312,0.16663772826493584,0.21427895159935992,15.0,1.0,15.999999999999975
288,0.04387198623103473,0.1664300755002113,0.21432371768244776,15.0,1.0,15.999999999999975
289,0.04357657099424845,0.16622630021567997,0.2143680971570415,15.0,1.0,15.999999999999975
290,0.043283695409802855,0.1660263321401645,0.21441209809141556,15.0,1.0,15.999999999999975
291,0.042993321670385935,0.16583010231219192,0.21445572828866605,15.0,1.0,15.999999999999975
292,0.04270541316186252,0.1656375430567913,0.21449899529412442,15.0,1.0,15.999999999999975
293,0.04241993441915056,0.1654485879626833,0.21454190640258863,15.0,1.0,15.999999999999975
294,0.042136851084656826,0.16526317185983405,0.2145844686653747,15.0,1.0,15.999999999999975
295,0.04185612986918056,0.16508123079738588,0.21462668889719094,15.0,1.0,15.999999999999975
296,0.04157773851520238,0.1649027020219386,0.21466857368283768,15.0,1.0,15.999999999999975
297,0.04130164576248027,0.16472752395619555,0.21471012938373446,15.0,1.0,15.999999999999975
298,0.041027821315884984,0.16455563617793956,0.21475136214427964,15.0,1.0,15.999999999999975
299,0.04075623581541177,0.16438697939936925,0.21479227789804262,15.0,1.0,15.999999999999975
300,0.04048686080831374,0.16422149544675346,0.21483288237379555,15.0,1.0,15.999999999999975
301,0.040219668723307456,0.164059127240426,0.214873181101384,15.0,1.0,15.999999999999975
302,0.03995463284681002,0.16389981877509624,0.21491317941744387,15.0,1.0,15.999999999999975
303,0.039691727301169655,0.16374351510048463,0.21495288247096445,15.0,1.0,15.999999999999975
304,0.03943092702486151,0.1635901623022685,0.21499229522870436,15.0,1.0,15.999999999999975
305,0.03917220775462217,0.1634397074833328,0.21503142248046145,15.0,1.0,15.999999999999975
306,0.03891554600950245,0.16329209874533096,0.21507026884420227,15.0,1.0,15.999999999999975
