step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
212,13.893226569284234,13.875380215331463,0.3808488017968784,0.21556554422732382,0.269199142848677,19.0,1.0,19.99999999999997
213,13.885368103848583,13.867733204126525,0.37413350632658093,0.2141422967224213,0.2671010775170952,19.0,1.0,19.99999999999997
214,13.877507033361187,13.860078342386124,0.3675305019319076,0.21273595736096373,0.26510622884880025,19.0,1.0,19.99999999999997
215,13.869643339097717,13.852415723207555,0.361040045313061,0.21134647588594901,0.26321013895829387,19.0,1.0,19.99999999999997
216,13.861777002749747,13.84474543860671,0.35466229979868746,0.20997378538956815,0.26140849630681096,19.0,1.0,19.99999999999997
217,13.853908006421921,13.837067579530345,0.3483973308334278,0.2086178037203095,0.2596971332116606,19.0,1.0,19.99999999999997
218,13.846036332644541,13.829382235868179,0.3422450907590893,0.2072784348490367,0.25807202349971087,19.0,1.0,19.99999999999997
219,13.838161964426405,13.821689496464872,0.33620535405650986,0.20595557020433494,0.2565292806491188,19.0,1.0,19.99999999999997
220,13.830284885267654,13.81398944913187,0.33027780755091946,0.20464909132627204,0.255065155088214,19.0,1.0,19.99999999999997
221,13.822405079174914,13.806282180659112,0.3244620539938499,0.20335887002254288,0.2536760314798121,19.0,1.0,19.99999999999997
222,13.81452253068809,13.79856777682661,0.3187575973643302,0.2020847655064822,0.2523584261312571,19.0,1.0,19.99999999999997
223,13.806637224879188,13.790846322415888,0.31316390945947853,0.20082662680311558,0.2511089841065473,19.0,1.0,19.99999999999997
